notation,count
73D26,41
71A35,41
43C1112,41
48C7331,41
25H2130,41
73F412,41
48C7332,41
"83(TASSO, Gerusalemme Liberata)",40
41C3,40
11H(ANTONY OF PADUA),40
11M43,40
31A51453,40
92C352,40
11C231,40
35,40
73D241,40
11H(JEROME)361,39
92L178,39
92N1231,39
73D7,39
73C13341,39
23D43,39
92L4151,39
73E123,39
11D3,39
12A32,39
48C753,38
92B1215,38
25FF241,38
"83(HOOFT, Granida)",38
73F421,38
98B(DIOGENES)52,38
71C1282,38
11P3111,38
11M41,38
11F232,38
94N323,38
73BB641,38
71E126,38
98C(CLEOPATRA)68,38
46A124,38
71T77,37
92B3411,37
73D4,37
71A251,37
31A71,37
11P315311,37
31F26,37
"83(TERENTIUS, Andria)",37
94C1131,37
71V22,36
48CC75,36
71A4221,36
48C20,36
49C32,36
73E7,36
48C7354,36
73F221,36
480,36
71H145,36
92L1791,36
23K12,36
73C71242,36
23E44,36
73D231,36
71C2741,35
73A11,35
48C7322,35
11M42,35
71E1343,35
11D12,35
11HH(HELENA),35
92H1781,35
92B3731,35
73D35,35
47I141,35
"83(HELIODORUS, Aethiopica)",35
11H(MARK)12,35
82AA(ANGELICA),35
11P3151,35
73A222,34
11L5,34
11I2,34
23D41,34
92C35,34
43C113,34
96D(SABINE WOMEN)611,34
71I326,34
24B,34
98B(SENECA)68,34
92C4551,34
48C73,34
98B(ALEXANDER THE GREAT),33
73D324,33
31F11,33
46C24,33
11HH(VERONICA),33
73B5,33
23K41,33
20,33
73D672,33
71F314,33
46C13141,33
49N21,33
73A2221,33
71A22,33
94P212,33
33C1,32
51H42,32
11I62(JEREMIAH),32
71D128,32
73C423,32
11H(HUBERT)34,32
92B1,32
47I213,32
23K13,32
92C1,32
"83(LORRIS ET MEUN, Le Roman de la Rose)",32
71X1(Ps. 68)1,32
92L1911,32
45H33(+22),32
11H(BERNARD),32
11C21,32
11D2,32
11I62(DAVID)32,32
25H213,32
73F45,32
73D723,32
31A54212,32
41A12,32
25F4,32
11D32,32
23O12,31
73C622,31
23E43,31
31A2524,31
61D(FRANCE),31
31D14,31
92L4,31
44B125,31
98B(HERACLITUS)51,31
73D82(NAILS),31
41C741,31
71C323,30
31B8,30
71W531,30
49E391,30
73D731,30
23O22,30
95A(NARCISSUS)21,30
49L12(T),30
92B1222,30
11H(LUKE),30
23O21,30
11HH(MARGARET)52,30
48C511,30
82AA(IPHIGENIA),30
59B32,29
48C7334,29
71E1383,29
71P22,29
11G1835,29
73D622,29
71A823,29
61A,29
71A6,29
31E12,29
71X1(Ps. 26)1,29
11H(CORNELIUS),29
11I51,29
45F5,29
71F376,29
41B211,29
23K32,29
11MM33,29
71F375,29
11Q733,29
23K11,29
11G33,29
11Q765,29
23K33,29
23O11,29
45I611,29
11D113,28
23K22,28
73B57(+5),28
11F722,28
94G11,28
73E792,28
73C8645,28
73D94,28
11H(AUGUSTINE)12,28
73E35,28
31E236219,28
11D3331,28
44B192,28
45A231,28
23K21,28
45K21,28
44B114(COUNT),28
49L17,28
45C41,28
11H(DOMINIC),28
73D7221,28
42D3,28
11G192,28
23O31,27
71F377,27
71A42,27
11N42,27
31E23462,27
48C70,27
71M84,27
31A25561(+915),27
11D21,27
71X1(Ps. 97)3,27
71H115,27
48C731,27
73B1,27
73D82(COLUMN),27
11I62(SOLOMON)34,27
11H(LUKE)12,27
92L191,27
31D16,27
11H(ELOI),27
23O32,27
71C11932,26
31D15(+89),26
"83(PLUTARCH, Parallel Lives of Illustrious Greeks and Romans)",26
73DD61,26
23E41,26
11HH(LUCY),26
11F3,26
11F421,26
11I62,26
71C1311,26
11F2,26
73D645,26
11D331,26
73AA522,26
23K31,26
11H(PAUL)4,26
11HH(MYRRHOPHORES),26
31D14(+89),26
73E342,26
11H(MATTHIAS),26
98C(CLOELIA)51,26
73C431,26
73C861,26
92C4915,26
46A122,26
23K,25
71M12,25
11Q624,25
73D3532,25
73D32,25
71Q741,25
25F23(BEAR),25
82A(AMADIS DE GAULA),25
73F2121,25
71P4333,25
71O36,25
73C133,25
92B1213,25
23O13,25
71C12243,25
71H713,25
23E42,25
95A(ACHILLES)121,25
11D3343,25
48CC7323,25
11R51,25
31A25551,25
98B(ALEXANDER THE GREAT)211,25
11F2421,25
48C7341,25
11H(THOMAS AQUINAS),24
54F12,24
11U22,24
"83(GUARINI, Il Pastor Fido)",24
25A11,24
73D17,24
11H(ANTONY ABBOT)351,24
11Q7311,24
49L8,24
92K1151,24
71A423,24
11R3,24
11G23,24
11D123(ANDREW'S CROSS),24
45M2,24
92L1913,24
12F61,24
71O77,24
25F42,24
91E21,24
11Q651,24
98C(CLEOPATRA)51,24
11H(ANTONY ABBOT)352,24
92B5221,24
11I62(EZEKIEL),24
45A232,24
11H(ILDEFONSO)341,24
73A2,24
11T1,24
46C13142,24
11G41,24
71A252,24
73C72232,24
45H53,23
96C(ROMULUS)122,23
73A18,23
73D332,23
11I,23
73C73,23
25G3,23
43C7851,23
45A10,23
41B31(+1),23
41C621,23
98B(DEMOCRITUS),23
48C735,23
11Q714113,23
43C512,23
71W5,23
97CC641,23
73C7262,23
71Q63,23
71M21,23
11I62(...)3,23
71B3222,23
71I331,23
71T792,23
46B0,23
11F4211,23
11FF422,23
73C222,23
92B34121,23
11P31111,22
71V134,22
44B127,22
44G4,22
11R7,22
71E11241,22
11F611,22
11C3,22
11HH(CATHERINE OF SIENA),22
71B311,22
61BB2,22
73D35121,22
73A5,22
48B,22
73E,22
73D521,22
49C20,22
11G1831,22
45H2 being attacked; defence,22
25B,22
61B2(CHARLES V),22
41A635,22
11FF412,22
92B325,22
11F32,22
71C274,22
92L5,22
43C9,21
59C2,21
73B62,21
11Q751,21
49L12(N),21
73C4213,21
73C86461,21
45C15(ARROW),21
46A12,21
73B281,21
11F31,21
46C223,21
11P315331,21
73C421,21
71U432,21
24G,21
71D155,21
44B124,21
11H(HUBERT),21
71C33271,21
11F241,21
44B1524,21
41C12,21
71D1241,21
11F4222(+3),21
73D43,21
92C392,21
71E11271,21
92H391,21
98C(ARTEMISIA)61,21
11L12,21
25H114,21
71A311,21
48A8111,21
73D661,21
73A14,21
73B8212,21
73C2,21
94L72,21
71C2441,21
11HH(BARBARA)68,20
73F415,20
25F25(ELEPHANT),20
25B4,20
71C11911,20
11I62(ZECHARIAH),20
31D15,20
11H(CHARLEMAGNE),20
92C452,20
11D3222,20
73A352,20
44G321(GRIDIRON),20
48A12,20
94L4113,20
54F2,20
73A523(+11),20
98B(ALEXANDER THE GREAT)521,20
33A11,20
11HH(URSULA)61,20
92D19218,20
11T,20
71H1442,20
51L5(+6),20
11H(JOHN GUALBERTO)5,20
73D82(LANCE),20
61B2(Henri IV)21,20
73C41,20
73D644,20
71V1341,20
92B39117,20
73C815,20
12F211,20
11H(SEBASTIAN)63,20
11D334,20
11H(AMBROSE)42,20
71C1241,20
11H(NICHOLAS)51,20
11P3112,20
11H(GILES),20
94I233,19
71W53,19
92G1,19
42E131,19
73F413,19
73D631,19
95A(ULYSSES),19
11V7,19
73D82(SCOURGE),19
73D633,19
44B1511,19
73C86431,19
92C271,19
92C451,19
31A211,19
73B6,19
96C(ROMULUS)124 Faustulus brings Romulus and Remus to his wife,19
92D1921,19
73F44,19
71F354,19
46C20,19
98B(APELLES)21,19
98(+9),19
31A277,19
11H(ERASMUS)61,19
43C111231,19
11F23,19
11H(JEROME)342,19
11HH(THERESA),19
71F643,19
11G4,19
25F22,19
92B12181,19
71F3761,19
49D22,19
73A2332,19
73C4,19
43C111232,19
11Q731125,18
98B(CAESAR),18
61B111,18
95B(CECROPS' DAUGHTERS)68,18
11HH(WALBURGA),18
45C15(BOW AND ARROW),18
73C864,18
11I16,18
92D42,18
73D51,18
73F416,18
48C901,18
71C3184,18
71T37,18
98B(CAMBYSES)51,18
48CC7311,18
71E118,18
43C631,18
71E1272,18
71I332,18
45L42,18
11D3271,18
47B1814,18
71H136,18
96A1821,18
47I111,18
94L221,18
11V6,18
71Z31,18
11Q71455,18
25F23(TIGER),18
11H(DIONYSIUS THE AREOPAGITE),18
98C(SOPHONISBE)68,18
11F713,18
92B3711,18
33A5 friends,18
11H(JOSEPH)11,18
31E238,18
46B311,18
47D8(AXE),18
73D414,18
96B322,17
73B28,17
47I212,17
73F2243,17
48A8112,17
71C213,17
98B(SENECA),17
