notation,count
25H22,30
47D31,30
25G21(APPLE),30
46C2231,30
48AA983,30
34B232,30
41D221(TRICORNE),30
25H17(+1),30
22C4,29
41C3,29
32A5,29
7,29
31A2531,29
41A541,29
25G4111,29
41D2662,29
31D13(+53),29
31A(+2),29
25G3(WILLOW),29
41C741(+1),29
25I8,29
41A313,29
49L17,29
48C8422,28
41A722,28
33B3,28
11HH(CATHERINE),28
31A2255,28
61D(VESUVIO),28
41A38,28
43C1147,28
31B12,28
25I2(+1),28
41A63,28
44B112,28
31AA233,27
41C743,27
31D14(+2),27
31B1,27
41C37,27
33C233,27
48C9,27
61E(BERLIN),27
42A31,27
11G1911,27
25I151,27
46B11,27
49L21,27
31A235(+4),27
44B191,27
25I144(+1),27
41A351,27
25I146,27
61D(RUSSIA),27
25I42,27
11F61,27
61E(EPPSTEIN),27
61D(RHEINGAU),27
25H18,26
25G,26
48A821,26
11G184,26
82AA(GRETCHEN),26
46C23231,26
41A511,26
31A2513,26
46E221,26
26D1,26
25F24(STAG),26
25H12(+1),26
25H133(+1),26
25I1451(+1),26
61E(VERONA),26
24F,25
9,25
61E(PARIS),25
41B31,25
41D42,25
25H131,25
31D16(+1),25
49L7,25
45C19(SHIELD),25
41A422,25
41D443,25
31A(+4),25
47I222,25
41A163,25
61E(KARDEN (Treis-Karden)),25
41AA12,25
61E(BRAUNFELS),25
61E(ÜBERLINGEN),25
82A(DIETER),25
61D(RIESENGEBIRGE),25
41A774,24
41C341,24
92L3,24
42A51,24
61F(REGIO 6 (Pompei)),24
"83(DANTE, Divina Commedia)",24
31B52,24
46C513,24
31A2364,24
48C513(+2),24
25H16(+1),24
11Q7129,24
25I1413,24
11Q71423,24
31A(+31),24
31D13(+51),24
25I24(+1),24
61D(SCHWARZWALD),24
42F51,23
41D2423,23
25G3(+24),23
25I1412,23
48A9851,23
11P31,23
11D2,23
61B,23
41D213(SUIT),23
25C12,23
61D(EGYPT),23
41C653,23
41A363,23
31AA2361,23
31D16(+53),23
31AA221,23
31BB13,23
11H(SEBASTIAN),23
41A16,23
41C12,23
31D1122,23
11E1,23
41D91,23
73D625,23
92C454,23
25F36(DUCK),23
25H216(+1),23
48A9876,23
25I41(+1),23
49M41,23
61B11,22
31A511,22
31D13(+1),22
"61B2(KOLLWITZ, Käthe)1",22
41A7,22
41A171,22
48A9831,22
48C524,22
47I15,22
41A141,22
61F(PALAZZO DUCALE (Venedig)),22
41A343,22
31D11212,22
31D14(+72),22
31D14(+3),22
46A12,22
73B25,22
61B111(+53),22
42A411,22
24A21,22
61D(SPAIN),22
41A3221,22
31A2422,22
"83(RICHARDSON, Clarissa)",22
61B(+55),22
41A3,22
25I145(+1),22
31AA14(+56),21
47I4221,21
41D221(HEADSCARF),21
45C11(SPEAR),21
12B61,21
31D11211,21
41B33,21
45C16(RIFLE),21
31A2361,21
31A25311,21
31E12,21
41D223(WAISTCOAT),21
31F11,21
11Q71454,21
41D921,21
41AA11,21
11Q651,21
41C211,21
61E(WETZLAR),21
61E(SUBIACO),21
61E(KÖNIGSTEIN (Taunus)),21
31AA(+55),21
41A324,21
61F(BURG HOHENSOLMS),21
61E(ELTVILLE),21
49D36,20
61B111,20
31A2211,20
22C4(BLUE),20
31AA2511,20
31F,20
31B6217,20
25G4,20
31AA27631,20
31D15(+3),20
25H1131,20
44A1,20
41D222,20
41D262,20
41D2321,20
42B,20
41C345,20
92L41,20
31A231(+4),20
47I228,20
45B(+22),20
11P31522,20
25I28,20
25I24,20
43B31(+1),20
25H2143(+1),20
42E432,20
31A14(+53),20
11Q7121(FACADE),20
61E(HIRSCHHORN (Neckar)),20
41A111,20
61F(STIFTSKIRCHE SANKT PETER),20
32A6,19
31A225,19
41D26611,19
31AA2331,19
73D58,19
61F(SANKT BARTHOLOMÄUS (Frankfurt am Main)),19
48C7323,19
25G21,19
25H232,19
31A25,19
61D(CAMPANIA),19
61F(PETERSKIRCHE (Rom)),19
61F(REGIO 8 (Pompei)),19
11D3,19
48A712,19
41A7211,19
41A53,19
31D15(+2),19
31F26,19
31A(+55),19
31A2518,19
46C5135,19
61D(ALPEN),19
43C244,19
41B214,19
61B111(+52),19
47I2271,19
11P31131,19
41A622,19
73D641,19
73B81,19
41D441,19
31D15(+31),19
25I6(+1),19
44B121,19
48C1423,19
61F(BURG FALKENSTEIN (Königstein im Taunus)),19
61F(BURG KÖNIGSTEIN),19
41A512,19
61E(SANKT GEORGEN (Braunfels)),19
41B3,18
61B1,18
41E,18
43C94,18
47I15(SCYTHE),18
41D,18
41A23,18
42F53,18
25H2311,18
92L4,18
43C11,18
61D(HESSEN),18
43A422,18
61F(REGIO 7 (Pompei)),18
41C322,18
31A(+51),18
31AA(+2),18
31D15(+72),18
31A2525,18
31AA235(+4),18
41D225,18
47K42,18
41A143,18
25H2161,18
41B21,18
61E(AMSTERDAM),18
25F36(SWAN),18
42E35,18
48C168,18
47I212,18
45C14(LANCE),18
11H(JEROME),18
31A2311,18
11F5,18
82A(SIEGFRIED),18
49L66,18
31D12(+4),18
11F42(+3),18
31A224,18
31AA(+31),18
31D14(+21),18
47I2112(+9536),18
48A98211,18
42E351,18
5(+11),18
33C231,18
61B2(...),18
47H31(+21),18
"83(BUSCH, Der Floh)",18
31A57,18
61E(SELIGENSTADT (Main)),18
22C4(YELLOW),17
34B211,17
48C511,17
73B281,17
46C133,17
31D1121,17
48C5152,17
48C5151,17
31B13,17
41A671,17
5,17
45C13(RAPIER),17
41D2121(+43),17
31AA533,17
73E77,17
61B2(+53),17
11F4222,17
43B13,17
11F611,17
46C1463,17
11Q7131(NAVE),17
61E(OLEVANO ROMANO),17
11G23,17
44B1,17
31E34,17
46C13185,17
61E(NÜRNBERG),17
25H21(+1),17
25F24(CAMEL),17
31A5331,17
82AA(CLARISSA),17
25H119(+1),17
25H154(+1),17
47I423,17
